Date,Open,High,Low,Close,Adj Close,Volume
2023-05-01,15588.68,16683.76,15424.42,16578.96,16578.96,68595500
2023-06-01,16511.00,17346.32,16477.43,16915.54,16915.54,82322300
2023-07-01,16915.54,17463.76,16593.84,17145.43,17145.43,90902100
2023-08-01,17141.97,17252.32,16264.65,16634.51,16634.51,76128500
2023-09-01,16640.92,16920.92,16202.43,16353.74,16353.74,55430900
2023-10-01,16382.96,16825.91,15975.91,16001.27,16001.27,54848900
2023-11-01,16027.72,17441.79,15978.26,17433.85,17433.85,65828300
2023-12-01,17422.35,17945.70,17252.57,17930.81,17930.81,74902300
2024-01-01,17939.79,18138.74,17151.58,17889.56,17889.56,62117900
2024-02-01,17871.27,19023.01,17832.95,18966.77,18966.77,43964600
2024-03-01,19021.35,20397.07,18923.46,20294.45,20294.45,88684000
2024-04-01,20319.73,20883.69,19291.88,20396.60,20396.60,91033900
2024-05-01,20360.67,21937.40,20222.44,21174.22,21174.22,109883800
2024-06-01,21388.71,23406.10,21264.63,23032.25,23032.25,88855800
2024-07-01,23042.70,24416.67,21833.85,22199.35,22199.35,106604500
2024-08-01,22546.40,22652.21,19662.74,22268.09,22268.09,89434600
2024-09-01,22341.90,23079.21,20922.17,22224.54,22224.54,68870900
2024-10-01,22329.65,23713.70,22193.50,22820.43,22820.43,61146000
2024-11-01,22438.93,23699.70,22055.38,22262.50,22262.50,73073600
2024-12-01,22456.50,23387.17,22456.50,23035.10,23035.10,67916600
2025-01-01,22975.71,23943.95,22458.22,23525.41,23525.41,39176300
2025-02-01,22796.71,23732.58,22502.20,23053.18,23053.18,62667500
2025-03-01,22734.05,22979.97,20695.90,20695.90,20695.90,64427300
2025-04-01,20884.53,21390.52,17306.97,20235.03,20235.03,60443100
2025-05-01,20534.08,21879.24,20320.80,21347.30,21347.30,65715100
2025-06-01,21253.97,22587.67,20940.98,22256.02,22256.02,71704300
2025-07-01,22419.74,23631.11,22190.46,23542.52,23542.52,73556100
2025-08-01,23318.37,24570.15,23151.65,24233.10,24233.10,85098000
2025-09-01,24143.37,26394.03,23885.41,25820.54,25820.54,91167000
2025-10-01,26078.29,28527.68,25982.91,28233.35,28233.35,92931800
2025-11-01,28253.53,28554.61,26395.98,27626.48,27626.48,92241300
2025-12-01,27674.16,29009.81,27342.53,28963.60,28963.60,101160300
2026-01-01,29016.68,32996.03,29007.75,32063.75,32063.75,150908000
2026-02-01,32008.46,35579.34,31164.28,35414.49,35414.49,74103500
2026-03-01,35277.48,35345.72,31529.36,31722.99,31722.99,139578300
2026-04-01,31892.33,40194.92,31892.33,38926.63,38926.63,121588300
2026-05-01,39228.39,44954.09,39228.39,44732.94,44732.94,161961200
2026-06-01,44872.82,46552.16,42376.86,43225.54,43225.54,73440000
